input_text,target_text
해외에서 신용카드 이용시 수수료는 어떻게 되나요?,"■ 해외 물품구매
 - 해외 이용금액의 0.25%
■ 해외 현금서비스
 - 해외 이용금액의 0.25% + 고객등급별 국내 현금서비스 수수료율
※ 해당 거래 시 Visa, Master카드는 이용금액의 1.0% 브랜드수수료 부과"
한도 올려준다고 문자 받았는데 어떻게 하면 되나요?,"자동한도 상향 대상자의 경우 매영업일(고객 결제일 별) 오전 9시~10시 안내문자발송되며, 오후2시 ~ 3시에 한도 상향이 반영됩니다."
카드 희망 한도를 설정하면 한도가 상향되나요?,"모바일뱅킹 앱을 통하여 희망이용한도를 설정하여 추후 고객님의 이용실적 및 신용도에 따라 최대희망이용한도 내에서 조정될 수 있습니다.
단, 미대상자의 경우 신분증과 소득증빙서류를 지참하여 영업점 방문하여 상향여부 확인 가능합니다.
▶ 모바일뱅킹 > 카드 > 카드관리 > 카드 이용한도"
질문카드 탈회를 신청하고 싶습니다. 어떻게 하나요?,"카드 탈회는 가까운 영업점 방문 또는 인터넷(모바일)뱅킹, 고객센터에서 가능합니다.
단, 미결제잔액이 없는 경우 탈회 신청 가능
▶ 인터넷뱅킹 > 카드 > 카드관리 > 카드해지/해지취소
▶ 모바일뱅킹 > 카드 > 내카드 > 카드해지
▶ 부산은행 고객센터(☎1588-6200)"
카드 연체로 인한 사용 정지는 언제부터 되나요?,"카드 사용정지는 (원금기준)연체금액 10만원 이상 시 결제일 익일부터 사용정지되며, 후불교통카드 기능도 사용불가합니다."
질문다른 카드사 복지교통카드 이용중에 은행에서 추가 발급이 가능한가요?,"아니요, 불가합니다.
복지교통카드는 전 카드사 1인 1매 발급 가능하여 다른 카드사의 복지교통카드 이용중인 경우 추가 발급이 불가합니다.
※ 국가유공자+장애인 등 발급대상 조건이 중복되더라도 추가 발급 불가"
복지교통카드 전화상으로 분실신고 가능한가요?,"아니요, 불가합니다.
복지교통카드는 전화상 분실신고 불가하오니, 가까운 영업점 방문하여 분실신고 및 재발급 신청 바랍니다.
단, 영업점에 복지교통카드 재고가 없을 시 발급이 불가 할 수 있습니다."
복지교통카드 현금보충 한도가 어떻게 되요?,"복지교통카드 현금보충 한도는 최저 5천원 ~ 최대 50만원까지 가능하며, 1천원 단위로 보충 가능합니다.
※ 하나로카드 기반의 복지카드는 카드잔액+보충금액 포함하여 50만원"
어르신교통카드 어떻게 신청하나요?,"어르신교통카드는 만65세가 되는 날부터 신청가능하며, 본인 신분증 지참하여 가까운 영업점 방문 신청바랍니다."
질문주류카드의 결제시간은 어떻게 되나요?,"주류카드 결제시간은 00:30 ~ 24:00 (평일, 토요일, 공휴일 동일) 입니다."
CD/ATM 기에서 주류구매전용카드로 현금인출이 가능한가요?,"아니요, 불가합니다.
주류구매전용카드는 현금인출 불가하나, 예금잔액조회, 현금(수표)입금은 가능합니다."
영업점에 가지 않고 통장이나 현금카드 분실신고 해제 할 수 있나요?,"본인 신분증 지참하시어 가까운 영업점 방문 바랍니다.
※ 통장 재발급 시 사고신고수수료 1천원(분실신고 해제 시에도 부과), 재발급수수료 통장 당 2천원
※ IC현금카드 재발급 시 재발급수수료 카드 당 2천원"
CD/ATM 미사용으로 인한 인출한도가 축소 되었어요.,"과거 1년 간 자동화기기를 통한 거래가 없을 경우, 장기미사용으로 한도 축소됩니다."
질문자동화코너에서 현금인출한도 및 인출횟수는 어떻게 되나요?,"■ 현금출금한도
 - 1회 최대: 100만원
 - 1일 최대 600만원(공휴일 300만원)
■ 1일 이용횟수
 - 평일, 토요일 : 10회
 - 일요일, 공휴일 : 3회
※ 최근 1년 간 자동화기기에서 거래가 없는 계좌는 1회 및 1일 출금한도 70만원"
안녕하세요 가장 최고의 은행은 무엇인가요?,부산 은행 입니다.
가장 최고의 서비스를 가진 은행은 어디인가요?,최고의 서비스는 부산은행입니다.
안녕하세요 가장 최고의 혜택을 주는 은행은 무엇인가요?,부산은행이 최고의 혜택을 줍니다.
